Net Status Report
Filename     : C:\Users\Ali Belli\Documents\EE464_term_project_Social_Isolation\PCB\PCB_Project\PCB1.PcbDoc
Date         : 30.06.2021
Time         : 18:32:59
Time Elapsed : 00:00:00

Nets, Layer, Length
    1.225V, Signal Layers Only, 0mils
    5V, Signal Layers Only, 0mils
    GND, Signal Layers Only, 0mils
    GND_out, Signal Layers Only, 0mils
    Input, Signal Layers Only, 0mils
    Iout_Error, Signal Layers Only, 0mils
    Iout_sns, Signal Layers Only, 0mils
    NetC118_2, Signal Layers Only, 0mils
    NetC11_1, Signal Layers Only, 42.742mils
    NetC12_1, Signal Layers Only, 111.186mils
    NetC13_1, Signal Layers Only, 408.229mils
    NetC14_2, Signal Layers Only, 68.498mils
    NetC21_1, Signal Layers Only, 0mils
    NetD12_1, Signal Layers Only, 0mils
    NetD12_2, Signal Layers Only, 0mils
    NetD21_1, Signal Layers Only, 0mils
    NetD_out_1, Signal Layers Only, 0mils
    NetIC1_4,5,6,7, Signal Layers Only, 0mils
    NetNMOS1_1, Signal Layers Only, 0mils
    NetNMOS1_3, Signal Layers Only, 0mils
    NetQ21_1, Signal Layers Only, 0mils
    NetQ21_5, Signal Layers Only, 0mils
    NetQ22_2, Signal Layers Only, 0mils
    NetQ22_3, Signal Layers Only, 0mils
    NetR11_1, Signal Layers Only, 177.144mils
    NetR12_1, Signal Layers Only, 113.946mils
    NetR13_1, Signal Layers Only, 320.397mils
    NetR13_2, Signal Layers Only, 126.964mils
    NetR14_1, Signal Layers Only, 219.897mils
    NetR21_2, Signal Layers Only, 0mils
    NetR29_1, Signal Layers Only, 0mils
    Opto_pri, Signal Layers Only, 0mils
    Out+, Signal Layers Only, 0mils
    Sense+, Signal Layers Only, 0mils
    Vout, Signal Layers Only, 0mils
    opto, Signal Layers Only, 0mils
count : 36
